parameter,mean,var
massx_nd,0.0467,0.0001
massy_nd,0.2579,0.0001
IzzJzz_nd,0.0286,0.0001
xuu_nd,-0.02139,0.0005
xvr_nd,-0.0081,0.0005
yv_nd,-0.3728,0.0005
nv_nd,-0.1458,0.0005
yr_nd,0.116,0.0005
nr_nd,-0.04849,0.0005
coeff_drag_sway,0.9665,0.0005
cry_cross_flow,2.217,0.0005
crn_cross_flow,0.8097,0.0005
coeff_drag_aft,-0.03189,0.0005
kt_coeff0,0.3278,0.0005
kt_coeff1,-0.3223,0.0005
kt_coeff2,-0.156,0.0005
t_prop,0.22,0.0005
w_prop_zero,0.614,0.0005
tau_prop,0.871,0.0005
coeff_cp_prop,-0.359,0.0005
xp_prop_nd,-0.517,0.0005
ai_coeff_prop0,-7.90E-05,0.0005
ai_coeff_prop1,0.00799,0.0005
ai_coeff_prop2,-0.00493,0.0005
ai_coeff_prop3,-0.00587,0.0005
ai_coeff_prop4,-0.000558,0.0005
ai_coeff_prop5,0.00508,0.0005
ai_coeff_prop6,0.001702,0.0005
ai_coeff_prop7,0.000916,0.0005
bi_coeff_prop0,3.50E-05,0.0005
bi_coeff_prop1,-0.00317,0.0005
bi_coeff_prop2,0.00196,0.0005
bi_coeff_prop3,0.00233,0.0005
bi_coeff_prop4,0.000225,0.0005
bi_coeff_prop5,-0.00216,0.0005
bi_coeff_prop6,6.27E-05,0.0005
bi_coeff_prop7,6.25E-05,0.0005
ci_coeff_prop0,-0.251,0.0005
ci_coeff_prop1,-0.175,0.0005
ci_coeff_prop2,0.33,0.0005
ci_coeff_prop3,-0.233,0.0005
t_rudder,0.19,0.0005
ah_rudder,0.393,0.0005
xh_rudder_nd,-0.45,0.0005
lr_rudder_nd,-1.08,0.0005
kx_rudder,0.288,0.0005
kx_rudder_reverse,0.144,0.0005
epsilon_rudder,1.42,0.0005
cpr_rudder,-0.176,0.0005
gammaN_rudder,0.4406,0.0005
gammaP_rudder,0.3506,0.0005
KT_bow_forward,0.36,0.0005
KT_bow_reverse,-0.45,0.0005
aY_bow,-5.83,0.0005
aN_bow,-3.44,0.0005
KT_stern_forward,0.17,0.0005
KT_stern_reverse,-0.21,0.0005
aY_stern,-2.56,0.0005
aN_stern,-7.46,0.0005
XX0,-0.010466205,0.0005
XX1,-0.821991956,0.0005
XX3,0.060273613,0.0005
XX5,0.044558221,0.0005
YY1,1.058172083,0.0005
YY3,0.002321463,0.0005
YY5,-0.015293452,0.0005
NN1,-0.030727798,0.0005
NN2,0.10411637,0.0005
NN3,-0.000880301,0.0005
